Date,IBM,AAPL,GOOG,MSFT,INTC,FB,AMZN,C
5/16/2013,204.690002,434.580013,903.871576,34.080002,23.940001,26.129999,264.119995,50.610001
5/17/2013,208.440002,433.26001,909.181575,34.869999,24.040001,26.25,269.899994,51.450001
5/20/2013,207.600006,442.930004,908.531564,35.080002,24.08,25.76,267.630005,51.599998
5/21/2013,208.649994,439.659996,906.971536,34.849998,24.15,25.66,268.859985,51.66
5/22/2013,206.990005,441.349995,889.421534,34.610001,24.07,25.16,262.959991,51
5/23/2013,206.160004,442.139999,882.79154,34.150002,24.049999,25.059999,261.799988,50.529999
5/24/2013,205.720001,445.150002,873.321468,34.27,23.92,24.309999,261.73999,50.52
5/28/2013,207.779999,441.44001,881.271518,35.02,24.08,24.1,267.290009,51.790001
5/29/2013,207.919998,444.949997,868.311479,34.880001,24.27,23.32,265.529999,52.279999
5/30/2013,209.360001,451.580002,870.761489,35.029999,24.209999,24.549999,266.829987,53.27
5/31/2013,208.020004,449.730026,871.221521,34.900002,24.280001,24.35,269.200012,51.990002
6/3/2013,208.949997,450.720009,867.63151,35.59,25.24,23.85,266.880005,51.959999
6/4/2013,206.190002,449.30999,859.101473,34.990002,25.360001,23.52,265.700012,51.23
6/5/2013,202.740005,445.110001,859.701493,34.779999,24.700001,22.9,267.170013,50.029999
6/6/2013,203.800003,438.459995,864.641457,34.959999,24.65,22.969999,267.829987,50.830002
6/7/2013,206.350006,441.810005,879.731524,35.669998,24.59,23.290001,276.869995,51.599998
6/10/2013,205.020004,438.889992,890.22152,35.470001,25.01,24.33,281.070007,51.93
6/11/2013,203.979996,437.600002,879.811535,34.84,24.709999,24.030001,274.779999,49.950001
6/12/2013,201.199997,432.189999,871.981501,35,24.459999,23.77,271.670013,49.439999
6/13/2013,203.770004,435.959991,877.001476,34.720001,24.99,23.73,275.790009,50.290001
6/14/2013,202.199997,430.050003,875.041517,34.400002,24.92,23.629999,273.98999,49.220001
6/17/2013,203.039993,432.000008,886.251549,35,25.1,24.02,278.059998,49.360001
6/18/2013,204.869995,431.769989,900.621519,34.98,25.469999,24.209999,281.76001,50.009998
6/19/2013,201.940002,422.999989,900.681558,34.59,25,24.309999,278.160004,49.529999
6/20/2013,197.350006,416.840008,884.741513,33.490002,24.190001,23.9,273.440002,47.900002
6/21/2013,195.460007,413.500011,880.931503,33.27,24.200001,24.530001,273.359985,46.869999
6/24/2013,193.539993,402.540001,869.791496,33.720001,23.58,23.940001,270.609985,45.439999
6/25/2013,194.979996,402.62999,866.201484,33.669998,23.879999,24.25,272.089996,47
6/26/2013,194.860001,398.069992,873.651498,34.349998,24.01,24.16,277.570007,47.610001
6/27/2013,195.649994,393.779987,877.071501,34.619999,24.049999,24.66,277.549988,48.279999
6/28/2013,191.110001,396.53001,880.371488,34.540001,24.23,24.879999,277.690002,47.970001
7/1/2013,191.279999,409.219994,887.88154,34.360001,23.889999,24.809999,282.100006,48.25
7/2/2013,191.5,418.490005,882.311537,33.939999,23.719999,24.41,283.730011,48.150002
7/3/2013,193.25,420.799992,886.431543,34.009998,23.76,24.52,284.029999,47.669998
7/5/2013,194.929993,417.419994,893.491549,34.209999,24.059999,24.370001,285.880005,48.529999
7/8/2013,194.979996,415.050007,905.091527,34.330002,23.190001,24.709999,290.589996,49.52
7/9/2013,191.300003,422.349987,905.241563,34.349998,23.139999,25.48,291.529999,50.209999
7/10/2013,192.25,420.730003,905.991557,34.700001,23.25,25.799999,292.329987,49.630001
7/11/2013,192.800003,427.289993,920.241572,35.689999,23.99,25.809999,299.660004,50.040001
7/12/2013,192.070007,426.510002,923.001578,35.669998,23.9,25.91,307.549988,50.810001
7/15/2013,194,427.44001,924.691608,36.169998,23.940001,26.280001,306.570007,51.810001
7/16/2013,193.850006,430.199993,919.611594,36.27,24.25,26.32,306.869995,51.830002
7/17/2013,194.550003,430.310009,918.551603,35.740002,24.15,26.65,308.690002,51.790001
7/18/2013,197.990005,431.760002,910.681564,35.439999,23.24,26.18,304.109985,52.689999
7/19/2013,193.539993,424.949993,896.601557,31.4,23.040001,25.879999,305.230011,52.349998
7/22/2013,194.089996,426.309998,910.701536,32.009998,22.77,26.049999,303.480011,53
7/23/2013,194.979996,418.98999,903.801551,31.82,22.75,26.129999,301.059998,52.880001
7/24/2013,196.610001,440.510002,902.901521,31.959999,22.93,26.51,298.940002,52.189999
7/25/2013,197.220001,438.499996,887.701547,31.389999,23.059999,34.360001,303.399994,52.66
7/26/2013,197.350006,440.990013,885.351519,31.620001,23.26,34.009998,312.01001,52.209999
7/29/2013,196.210007,447.790009,882.271531,31.540001,23.24,35.43,306.100006,51.639999
7/30/2013,196.009995,453.320015,890.921523,31.85,23.379999,37.630001,302.410004,51.779999
7/31/2013,195.039993,452.529984,887.751538,31.84,23.34,36.799999,301.220001,52.139999
8/1/2013,195.809998,456.679985,904.221578,31.67,23.200001,37.490002,305.570007,52.860001
8/2/2013,195.160004,462.539986,906.571544,31.889999,23.219999,38.049999,304.209991,53
8/5/2013,195.5,469.449997,905.00153,31.700001,22.92,39.189999,300.98999,52.869999
8/6/2013,190.990005,465.250008,896.571537,31.58,22.799999,38.549999,300.75,51.48
8/7/2013,188.559998,464.979988,890.651532,32.060001,22.700001,38.869999,296.910004,51.5
8/8/2013,187.929993,461.010017,892.661544,32.889999,22.450001,38.540001,295.73999,51.779999
8/9/2013,187.820007,454.449974,890.4115,32.700001,22.51,38.5,297.26001,51.32
8/12/2013,189.089996,467.360016,885.511541,32.869999,22.639999,38.220001,296.690002,50.900002
8/13/2013,188.419998,489.569977,881.251485,32.23,22.52,37.02,293.970001,51.77
8/14/2013,187.529999,498.500008,869.811468,32.349998,22.57,36.650002,291.339996,51.59
8/15/2013,185.789993,497.909981,859.661487,31.790001,22.030001,36.560001,286.470001,50.860001
8/16/2013,185.339996,502.330002,856.911467,31.799999,21.91,37.080002,284.820007,50.349998
8/19/2013,184.229996,507.740005,865.651456,31.389999,22.280001,37.810001,285.570007,49.330002
8/20/2013,184.559998,501.07,865.421471,31.620001,22.52,38.41,287.089996,49.919998
8/21/2013,184.860001,502.360016,869.331464,31.610001,22.17,38.32,284.570007,49.16
8/22/2013,185.190002,502.959976,873.711475,32.389999,22.26,38.549999,289.730011,49.91
8/23/2013,185.419998,501.020012,870.211522,34.75,22.440001,40.549999,290.01001,49.830002
8/26/2013,184.740005,502.970016,866.391464,34.150002,22.27,41.34,286.209991,49.599998
8/27/2013,182.740005,488.589981,850.151471,33.259998,22.190001,39.639999,280.929993,48.240002
8/28/2013,182.160004,490.899994,848.551438,33.02,22.290001,40.549999,281.579987,48.310001
8/29/2013,182.639999,491.700012,855.431451,33.549999,22.059999,41.279999,283.980011,48.470001
8/30/2013,182.270004,487.220016,846.901475,33.400002,21.98,41.290001,280.980011,48.330002
9/3/2013,183.960007,488.579994,860.381462,31.879999,22.07,41.869999,288.799988,49.369999
9/4/2013,183.130005,498.690025,871.6315,31.200001,22.639999,41.779999,293.640015,49.599998
9/5/2013,184.149994,495.269974,879.561517,31.23,22.6,42.66,294.100006,49.860001
9/6/2013,183.029999,498.220001,879.581489,31.15,22.67,43.950001,295.859985,49.220001
9/9/2013,184.979996,506.169983,888.051548,31.66,22.91,44.040001,299.709991,50.09
9/10/2013,186.600006,494.639999,888.67154,32.389999,22.98,43.599998,300.359985,51.09
9/11/2013,190.699997,467.709984,896.191517,32.740002,22.809999,45.040001,299.640015,50.73
9/12/2013,190.729996,472.690018,893.061537,32.689999,22.629999,44.75,298.859985,50.259998
9/13/2013,192.169998,464.899986,889.071533,33.029999,23.440001,44.310001,297.920013,50.490002
9/16/2013,193.149994,450.119995,887.761524,32.799999,23.389999,42.509998,296.059998,51
9/17/2013,192.160004,455.320007,886.1115,32.93,23.74,45.07,304.170013,51.200001
9/18/2013,194.419998,464.680008,903.321548,33.32,23.9,45.23,312.029999,52.209999
9/19/2013,193.389999,472.299995,898.391569,33.639999,23.91,45.98,312.059998,51.950001
9/20/2013,190.020004,467.410004,903.111535,32.790001,23.77,47.490002,316.339996,51.209999
9/23/2013,190.990005,490.640015,886.501507,32.740002,23.620001,47.189999,311.48999,49.57
9/24/2013,189.970001,489.100006,886.841522,32.450001,23.700001,48.450001,314.130005,48.959999
9/25/2013,189.470001,481.530006,877.231523,32.509998,23.700001,49.459999,312.649994,49.259998
9/26/2013,190.220001,486.219994,878.171497,32.77,23.41,50.389999,318.119995,48.93
9/27/2013,186.919998,482.750008,876.391532,33.27,22.98,51.240002,316.01001,48.889999
9/30/2013,185.179993,476.749977,875.911528,33.279999,22.92,50.23,312.640015,48.509998
10/1/2013,186.380005,487.960007,887.001544,33.580002,22.83,50.419998,320.950012,48.599998
10/2/2013,184.960007,489.55999,887.991509,33.919998,22.889999,50.279999,320.51001,48.709999
10/3/2013,183.860001,483.409996,876.091522,33.860001,22.6,49.18,314.76001,48.400002
10/4/2013,184.100006,483.030014,872.351475,33.880001,22.809999,51.040001,319.040009,49.139999
10/7/2013,182.009995,487.750015,865.741514,33.299999,22.83,50.52,310.029999,48.18
10/8/2013,178.720001,480.93998,853.671458,33.009998,22.48,47.139999,303.230011,47.669998
10/9/2013,181.320007,486.589989,855.861463,33.07,22.59,46.77,298.230011,47.950001
10/10/2013,184.770004,489.639992,868.241516,33.759998,23.1,49.049999,305.170013,49.27
10/11/2013,186.160004,492.809998,871.991487,34.130001,23.26,49.110001,310.890015,49.220001
10/14/2013,186.970001,496.039978,876.111494,34.450001,23.450001,49.509998,310.700012,49.599998
10/15/2013,184.660004,498.679985,882.011527,34.490002,23.389999,49.5,306.399994,48.860001
10/16/2013,186.729996,501.110001,898.031521,34.639999,23.700001,51.139999,310.48999,50.84
10/17/2013,174.830002,504.499985,888.791495,34.919998,23.92,52.209999,310.769989,51.119999
10/18/2013,173.779999,508.889992,1011.411708,34.959999,23.879999,54.220001,328.929993,51.150002
10/21/2013,172.860001,521.360023,1003.301698,34.990002,24.139999,53.849998,326.440002,51.029999
10/22/2013,174.970001,519.870003,1007.001739,34.580002,24.07,52.68,332.540009,50.759998
10/23/2013,175.770004,524.959999,1031.411782,33.759998,23.74,51.900002,326.76001,50.189999
10/24/2013,177.800003,531.910011,1025.551754,33.720001,23.780001,52.450001,332.209991,50.150002
10/25/2013,176.850006,525.960022,1015.201747,35.73,24.24,51.950001,363.390015,50.060001
10/28/2013,177.350006,529.880005,1015.001719,35.57,24.360001,50.23,358.160004,50.150002
10/29/2013,182.119995,516.680023,1036.241716,35.52,24.52,49.400002,362.700012,50.220001
10/30/2013,180.149994,524.900024,1030.421755,35.540001,24.5,49.009998,361.079987,49.889999
10/31/2013,179.210007,522.699974,1030.581776,35.41,24.469999,50.209999,364.029999,48.779999
11/1/2013,179.229996,520.030006,1027.041757,35.529999,24.33,49.75,359,48.740002
11/4/2013,180.270004,526.75,1026.111769,35.939999,24.26,48.220001,358.73999,48.630001
11/5/2013,177.850006,525.449997,1021.521745,36.639999,24.030001,50.110001,358.890015,48.380001
11/6/2013,179.190002,520.920013,1022.751743,38.18,24.25,49.119999,356.179993,48.619999
11/7/2013,180,512.490021,1007.951699,37.5,24.059999,47.560001,343.559998,48.349998
11/8/2013,179.990005,520.560005,1016.031752,37.779999,24.09,47.529999,350.309998,49.939999
11/11/2013,182.880005,519.050011,1010.59175,37.59,24.17,46.200001,354.380005,50.169998
11/12/2013,183.070007,520.009979,1011.781743,37.360001,24.43,46.610001,349.529999,49.52
11/13/2013,183.550003,520.63002,1032.471772,38.16,24.6,48.709999,356.220001,49.990002
11/14/2013,182.210007,528.160019,1035.231717,38.02,24.389999,48.990002,367.399994,50.209999
11/15/2013,183.190002,524.990013,1033.561782,37.84,24.52,49.009998,369.170013,50.400002
11/18/2013,184.470001,518.629974,1031.551709,37.200001,24.6,45.830002,366.179993,50.790001
11/19/2013,185.25,519.549995,1025.201753,36.740002,24.700001,46.360001,364.940002,51.169998
11/20/2013,185.190002,514.999985,1022.311744,37.080002,24.559999,46.43,362.570007,50.77
11/21/2013,184.130005,521.139992,1034.071744,37.400002,25.23,46.700001,368.920013,51.73
11/22/2013,181.300003,519.799988,1031.891724,37.57,23.870001,46.23,372.309998,52.41
11/25/2013,178.940002,523.739998,1045.931848,37.639999,23.75,44.82,376.640015,53.290001
11/26/2013,177.309998,533.399979,1058.411823,37.349998,23.65,45.889999,381.369995,53.009998
11/27/2013,178.970001,545.959999,1063.111877,37.599998,23.9,46.490002,386.709991,53.049999
11/29/2013,179.679993,556.069977,1059.591768,38.130001,23.84,47.009998,393.619995,52.919998
12/2/2013,177.479996,551.230026,1054.481857,38.450001,23.700001,47.060001,392.299988,52.619999
12/3/2013,176.080002,566.319984,1053.261845,38.310001,23.549999,46.73,384.660004,52.130001
12/4/2013,175.740005,565.000008,1058.181837,38.939999,23.74,48.619999,385.959991,52.040001
12/5/2013,176.080002,567.899994,1057.341785,38,24.26,48.34,384.48999,51.060001
12/6/2013,177.669998,560.019974,1069.871873,38.360001,24.82,47.939999,386.950012,51.490002
12/9/2013,177.460007,566.43,1078.141905,38.709999,24.93,48.84,384.890015,52.110001
12/10/2013,177.119995,565.54998,1084.661869,38.110001,24.82,50.25,387.779999,51.740002
12/11/2013,175.199997,561.359978,1077.291806,37.610001,24.42,49.380001,382.190002,50.709999
12/12/2013,173.369995,560.539986,1069.961809,37.220001,24.469999,51.830002,381.25,50.91
12/13/2013,172.800003,554.429993,1060.791808,36.689999,24.290001,53.32,384.23999,50.970001
12/16/2013,177.850006,557.500023,1072.981881,36.889999,24.450001,53.810001,388.970001,50.900002
12/17/2013,175.759995,554.990005,1069.861826,36.52,24.66,54.860001,387.649994,50.689999
12/18/2013,178.699997,550.769989,1084.751805,36.580002,25.15,55.57,395.959991,51.959999
12/19/2013,180.220001,544.459991,1086.221897,36.25,25.139999,55.049999,395.190002,51.880001
12/20/2013,180.020004,549.019989,1100.621886,36.799999,25.059999,55.119999,402.200012,52.209999
12/23/2013,182.229996,570.090004,1115.101886,36.619999,25.32,57.77,402.920013,52.41
12/24/2013,183.220001,567.669975,1111.841904,37.080002,25.43,57.959999,399.200012,52.43
12/26/2013,185.350006,563.900009,1117.461899,37.439999,25.700001,57.73,404.390015,52.349998
12/27/2013,185.080002,560.089989,1118.401934,37.290001,25.6,55.439999,398.079987,52.259998
12/30/2013,186.410004,554.519981,1109.461919,37.290001,25.85,53.709999,393.369995,51.919998
12/31/2013,187.570007,561.019997,1120.711956,37.41,25.959999,54.650002,398.790009,52.110001
1/2/2014,185.529999,553.12999,1113.121955,37.16,25.790001,54.709999,397.970001,52.27
1/3/2014,186.639999,540.980019,1105.001897,36.91,25.780001,54.560001,396.440002,53.400002
1/6/2014,186,543.929993,1117.321972,36.130001,25.459999,57.200001,393.630005,53.810001
1/7/2014,189.710007,540.040024,1138.861917,36.41,25.59,57.919998,398.029999,54.18
1/8/2014,187.970001,543.460022,1141.231977,35.759998,25.43,58.23,401.920013,54.810001
1/9/2014,187.380005,536.519997,1130.241944,35.529999,25.309999,57.220001,401.01001,55.200001
1/10/2014,187.259995,532.939995,1130.181906,36.040001,25.530001,57.939999,397.660004,54.720001
1/13/2014,184.160004,535.730019,1122.981911,34.98,25.5,55.91,390.980011,53.720001
1/14/2014,185.919998,546.390022,1149.402027,35.779999,26.51,57.740002,397.540009,53.950001
1/15/2014,187.740005,557.359993,1148.622013,36.759998,26.67,57.599998,395.869995,54.990002
1/16/2014,188.759995,554.250015,1156.221939,36.889999,26.540001,57.189999,395.799988,52.599998
1/17/2014,190.089996,540.669998,1150.53198,36.380001,25.85,56.299999,399.609985,52.27
1/21/2014,188.429993,549.069977,1163.702033,36.169998,25.59,58.509998,407.049988,51.849998
1/22/2014,182.25,551.509979,1165.022028,35.93,25.309999,57.509998,404.540009,51.900002
1/23/2014,182.729996,556.179993,1160.102036,36.060001,25.129999,56.630001,399.869995,50.720001
1/24/2014,179.639999,546.070015,1123.831888,36.810001,24.809999,54.450001,387.600006,49.330002
1/27/2014,177.899994,550.500023,1101.23183,36.029999,24.719999,53.549999,386.279999,48.810001
1/28/2014,176.850006,506.499977,1123.01193,36.27,24.9,55.139999,394.429993,49.599998
1/29/2014,176.399994,500.749992,1106.921912,36.66,24.68,53.529999,384.200012,48.080002
1/30/2014,177.360001,499.779984,1135.391922,36.860001,24.74,61.080002,403.01001,48.299999
1/31/2014,176.679993,500.599976,1180.971997,37.84,24.540001,62.57,358.690002,47.43
2/3/2014,172.899994,501.529984,1133.431963,36.48,23.950001,61.48,346.149994,46.34
2/4/2014,172.839996,508.790016,1138.161914,36.349998,23.82,62.75,347.950012,46.779999
2/5/2014,174.240005,512.589996,1143.201984,35.82,23.52,62.189999,346.450012,47.060001
2/6/2014,174.669998,512.509995,1159.961986,36.18,23.99,62.16,354.589996,48.25
2/7/2014,177.25,519.679985,1177.441963,36.560001,24.209999,64.32,361.079987,49.34
2/10/2014,177.139999,528.989998,1172.93195,36.799999,24.290001,63.549999,360.869995,49.32
2/11/2014,179.699997,535.959984,1190.182065,37.169998,24.469999,64.849998,361.790009,49.66
2/12/2014,180.240005,535.919983,1186.691975,37.470001,24.549999,64.449997,349.25,49.959999
2/13/2014,181.839996,544.429977,1199.902094,37.610001,24.700001,67.330002,357.200012,49.860001
2/14/2014,183.690002,543.990021,1202.802088,37.619999,24.76,67.089996,357.350006,49.52
2/18/2014,183.190002,545.990013,1210.88208,37.419998,24.76,67.300003,353.649994,49.380001
2/19/2014,182.949997,537.370003,1202.342118,37.509998,24.5,68.059998,347.380005,48.189999
2/20/2014,184.259995,531.149994,1204.112036,37.75,24.74,69.629997,349.799988,48.130001
2/21/2014,182.789993,525.249992,1203.792115,37.98,24.42,68.589996,346.76001,48.259998
2/24/2014,183.449997,527.550018,1212.512071,37.689999,24.629999,70.779999,351.779999,48.98
2/25/2014,183.229996,522.060013,1220.002089,37.540001,24.620001,69.849998,358.320007,48.400002
2/26/2014,184.059998,517.349998,1220.172036,37.470001,24.799999,69.260002,359.799988,48.32
2/27/2014,185.270004,527.670021,1219.212151,37.860001,24.76,68.940002,360.130005,48.689999
2/28/2014,185.169998,526.239975,1215.652097,38.310001,24.76,68.459999,362.100006,48.630001
3/3/2014,184.259995,527.76001,1202.692058,37.779999,24.5,67.410004,359.779999,47.610001
3/4/2014,186.440002,531.239983,1214.912028,38.41,24.610001,68.800003,363.899994,48.830002
3/5/2014,187.139999,532.360008,1218.262068,38.110001,24.5,71.57,372.369995,49.419998
3/6/2014,187.639999,530.749985,1219.612082,38.150002,24.629999,70.839996,372.160004,49.709999
3/7/2014,187.679993,530.440018,1214.792073,37.900002,24.639999,69.800003,372.059998,49.619999
